size_hash:	100004
load matriz users 
 size_matrix_user: 671
load matriz books 
 size_matrix_book: 9066
inicio:	672
fin:	50
19 ; 0.5 ; 0.5 ; 0.00844172
575 ; 0.5 ; 0.5 ; 0.00844172
493 ; 0.5 ; 0.5 ; 0.00844172
223 ; 0.5 ; 0.5 ; 0.00844172
416 ; 0.5 ; 0.5 ; 0.00844172
247 ; 0.5 ; 0.5 ; 0.00844172
374 ; 0.5 ; 0.5 ; 0.00844172
564 ; 0.5 ; 0.5 ; 0.00844172
459 ; 0.5 ; 0.5 ; 0.00844172
162 ; 0.5 ; 0.5 ; 0.00844172
516 ; 0.5 ; 0.5 ; 0.00844172
505 ; 0.5 ; 0.5 ; 0.00844172
154 ; 0.5 ; 0.5 ; 0.00844172
311 ; 0.5 ; 0.5 ; 0.00844172
157 ; 0.5 ; 0.5 ; 0.00844172
256 ; 0.5 ; 0.5 ; 0.00844172
329 ; 0.5 ; 0.5 ; 0.00844172
457 ; 0.5 ; 0.5 ; 0.00844172
87 ; 0.5 ; 0.5 ; 0.00844172
100 ; 0.5 ; 0.5 ; 0.00844172
463 ; 0.5 ; 0.5 ; 0.00844172
18 ; 0.5 ; 0.5 ; 0.00844172
430 ; 0.7 ; 0.7 ; 0.0118184
227 ; 0.8 ; 0.8 ; 0.0135068
299 ; 0.8 ; 0.8 ; 0.0135068
452 ; 0.860233 ; 0.860233 ; 0.0145237
73 ; 1.2 ; 1.2 ; 0.0202601
182 ; 1.5 ; 1.5 ; 0.0253252
55 ; 1.5 ; 1.5 ; 0.0253252
382 ; 1.5 ; 1.5 ; 0.0253252
294 ; 1.5 ; 1.5 ; 0.0253252
306 ; 1.5 ; 1.5 ; 0.0253252
537 ; 1.5 ; 1.5 ; 0.0253252
413 ; 1.5 ; 1.5 ; 0.0253252
213 ; 1.5 ; 1.5 ; 0.0253252
472 ; 1.5 ; 1.5 ; 0.0253252
128 ; 1.5 ; 1.5 ; 0.0253252
543 ; 1.5 ; 1.5 ; 0.0253252
547 ; 1.51327 ; 1.51327 ; 0.0255493
165 ; 2 ; 2 ; 0.0337669
119 ; 2 ; 2 ; 0.0337669
663 ; 2 ; 2 ; 0.0337669
298 ; 2.2 ; 2.2 ; 0.0371436
220 ; 2.2 ; 2.2 ; 0.0371436
500 ; 2.2 ; 2.2 ; 0.0371436
518 ; 2.2561 ; 2.2561 ; 0.0380908
312 ; 2.5 ; 2.5 ; 0.0422086
284 ; 2.5 ; 2.5 ; 0.0422086
461 ; 3 ; 3 ; 0.0506503
79 ; 3 ; 3 ; 0.0506503
